Movie Title,Director,Genre,Release Year
Happiness,King Vidor,Comedy,1924
His Hour,King Vidor,Drama,1924
The Big Parade,King Vidor,"Romance, War, Drama",1925
Proud Flesh,King Vidor,"Comedy, Drama, Romance",1925
La Bohème,King Vidor,"Romance, Drama",1926
Bardelys the Magnificent,King Vidor,"Action, Drama, Romance",1926
The Crowd,King Vidor,"Drama, Romance",1928
Show People,King Vidor,"Comedy, Romance",1928
The Patsy,King Vidor,"Comedy, Romance, Drama",1928
Hallelujah,King Vidor,"Music, Drama",1929
Billy the Kid,King Vidor,Western,1930
Not So Dumb,King Vidor,"Comedy, Romance",1930
The Champ,King Vidor,Drama,1931
Street Scene,King Vidor,"Drama, Romance",1931
Bird of Paradise,King Vidor,"Adventure, Drama, Romance",1932
Cynara,King Vidor,"Drama, Romance",1932
The Stranger's Return,King Vidor,"Drama, Romance",1933
Our Daily Bread,King Vidor,"Drama, Romance",1934
The Wedding Night,King Vidor,"Drama, Romance",1935
So Red the Rose,King Vidor,Drama,1935
The Texas Rangers,King Vidor,Western,1936
Stella Dallas,King Vidor,"Drama, Romance",1937
The Citadel,King Vidor,"Drama, Romance",1938
Comrade X,King Vidor,"Comedy, Romance",1940
Northwest Passage,King Vidor,"Adventure, History, War, Drama",1940
"H.M. Pulham, Esq.",King Vidor,"Drama, Romance",1941
An American Romance,King Vidor,"Romance, Drama",1944
Duel in the Sun,King Vidor,"Western, Romance, Drama",1946
On Our Merry Way,King Vidor,"Comedy, Music, Romance",1948
The Fountainhead,King Vidor,"Drama, Romance",1949
Beyond the Forest,King Vidor,"Drama, Thriller",1949
Lightning Strikes Twice,King Vidor,"Thriller, Mystery, Crime, Drama",1951
Japanese War Bride,King Vidor,Drama,1952
Ruby Gentry,King Vidor,"Drama, Romance",1952
Man Without a Star,King Vidor,Western,1955
War and Peace,King Vidor,"War, Romance, Drama, History",1956
Solomon and Sheba,King Vidor,"History, Romance",1959
Culling,Krzysztof Kieslowski,TV Movie,1972
First Love,Krzysztof Kieslowski,"Documentary, TV Movie",1974
The Scar,Krzysztof Kieslowski,Drama,1976
Personnel,Krzysztof Kieslowski,"Drama, TV Movie",1976
Two for the Seesaw,Krzysztof Kieslowski,"Romance, TV Movie",1976
Camera Buff,Krzysztof Kieslowski,Drama,1979
Kartoteka,Krzysztof Kieslowski,"TV Movie, Drama",1979
The Calm,Krzysztof Kieslowski,"Drama, TV Movie",1980
Short Working Day,Krzysztof Kieslowski,"Drama, TV Movie",1981
No End,Krzysztof Kieslowski,Drama,1985
Blind Chance,Krzysztof Kieslowski,Drama,1987
A Short Film About Killing,Krzysztof Kieslowski,"Crime, Drama",1988
A Short Film About Love,Krzysztof Kieslowski,"Drama, Romance",1988
Decalogue II,Krzysztof Kieslowski,"Drama, TV Movie",1989
Decalogue IV,Krzysztof Kieslowski,"Drama, TV Movie",1989
Decalogue VIII,Krzysztof Kieslowski,"Drama, TV Movie",1989
Decalogue I,Krzysztof Kieslowski,"Drama, TV Movie",1989
Decalogue III,Krzysztof Kieslowski,"Drama, TV Movie, Romance",1989
Decalogue V,Krzysztof Kieslowski,"Drama, TV Movie, Crime",1989
Decalogue VI,Krzysztof Kieslowski,"Drama, TV Movie",1989
Decalogue VII,Krzysztof Kieslowski,"Drama, TV Movie",1989
Decalogue IX,Krzysztof Kieslowski,"Drama, TV Movie, Romance",1989
Decalogue X,Krzysztof Kieslowski,"Drama, TV Movie, Comedy",1989
City Life,Krzysztof Kieslowski,Documentary,1990
The Double Life of Véronique,Krzysztof Kieslowski,Drama,1991
Three Colors: Blue,Krzysztof Kieslowski,Drama,1993
Three Colors: White,Krzysztof Kieslowski,"Comedy, Drama, Mystery",1994
Three Colors: Red,Krzysztof Kieslowski,"Drama, Mystery, Romance",1994
Cinema 16: European Short Films (European Edition),Krzysztof Kieslowski,Drama,2006
Shall We Go to My Place or Your Place or Each Go Home Alone?,Lasse Hallström,"TV Movie, Comedy",1973
A Guy and a Gal,Lasse Hallström,Comedy,1975
ABBA: The Movie,Lasse Hallström,"Comedy, Drama, Music",1977
Father to Be,Lasse Hallström,Comedy,1979
The Rooster,Lasse Hallström,Comedy,1981
Two Boys and a Girl,Lasse Hallström,"Comedy, Romance",1983
My Life as a Dog,Lasse Hallström,"Drama, Comedy",1985
The Children of Noisy Village,Lasse Hallström,Family,1986
More About the Children of Noisy Village,Lasse Hallström,Family,1987
Once Around,Lasse Hallström,"Comedy, Drama, Romance",1991
What's Eating Gilbert Grape,Lasse Hallström,"Romance, Drama",1993
Something to Talk About,Lasse Hallström,"Comedy, Drama",1995
The Cider House Rules,Lasse Hallström,Drama,1999
Chocolat,Lasse Hallström,"Comedy, Drama, Romance",2000
The Shipping News,Lasse Hallström,"Drama, Romance",2001
ABBA: The Definitive Collection,Lasse Hallström,Music,2002
An Unfinished Life,Lasse Hallström,Drama,2005
Casanova,Lasse Hallström,"Adventure, Comedy, Drama, Romance",2005
Abba - The complete studio recording,Lasse Hallström,Music,2005
The Hoax,Lasse Hallström,"Comedy, Drama",2006
Hachi: A Dog's Tale,Lasse Hallström,"Drama, Family",2009
Dear John,Lasse Hallström,"Drama, Romance, War",2010
Salmon Fishing in the Yemen,Lasse Hallström,"Drama, Romance, Comedy",2012
The Hypnotist,Lasse Hallström,"Crime, Drama, Thriller",2012
Safe Haven,Lasse Hallström,"Romance, Thriller",2013
The Hundred-Foot Journey,Lasse Hallström,"Drama, Comedy",2014
A Dog's Purpose,Lasse Hallström,"Adventure, Comedy, Fantasy, Family, Drama",2017
The Nutcracker and the Four Realms,Lasse Hallström,"Fantasy, Adventure, Family",2018
ABBA: In Their Own Words,Lasse Hallström,"Documentary, Music",2020
Hilma,Lasse Hallström,"Drama, History",2022
Shadowboxer,Lee Daniels,"Action, Crime, Drama, Thriller",2006
Precious,Lee Daniels,Drama,2009
The Paperboy,Lee Daniels,"Thriller, Drama, Mystery",2012
The Butler,Lee Daniels,Drama,2013
The United States vs. Billie Holiday,Lee Daniels,"Music, Drama, History",2021
The Deliverance,Lee Daniels,"Horror, Thriller",2024
Munyurangabo,Lee Isaac Chung,Drama,2008
Lucky Life,Lee Isaac Chung,"Drama, Romance",2010
Abigail Harm,Lee Isaac Chung,"Drama, Fantasy",2013
I Have Seen My Last Born,Lee Isaac Chung,Documentary,2015
Minari,Lee Isaac Chung,Drama,2021
Twisters,Lee Isaac Chung,"Action, Adventure, Thriller",2024
Adam & Paul,Lenny Abrahamson,"Comedy, Drama",2004
Garage,Lenny Abrahamson,"Comedy, Drama",2007
What Richard Did,Lenny Abrahamson,Drama,2012
Frank,Lenny Abrahamson,"Comedy, Drama, Mystery",2014
Room,Lenny Abrahamson,"Drama, Thriller",2015
The Little Stranger,Lenny Abrahamson,"Mystery, Horror",2018
The Sophomore,Leo McCarey,Comedy,1929
Red Hot Rhythm,Leo McCarey,Comedy,1929
Let's Go Native,Leo McCarey,"Music, Comedy",1930
Part Time Wife,Leo McCarey,Comedy,1930
Wild Company,Leo McCarey,Drama,1930
Indiscreet,Leo McCarey,"Drama, Romance, Comedy",1931
The Kid from Spain,Leo McCarey,"Comedy, Music",1932
Duck Soup,Leo McCarey,"Comedy, War",1933
Belle of the Nineties,Leo McCarey,"Comedy, Drama",1934
Six of a Kind,Leo McCarey,Comedy,1934
Ruggles of Red Gap,Leo McCarey,Comedy,1935
The Milky Way,Leo McCarey,Comedy,1936
Make Way for Tomorrow,Leo McCarey,"Drama, Romance",1937
The Awful Truth,Leo McCarey,"Comedy, Romance",1937
Love Affair,Leo McCarey,"Drama, Romance",1939
Once Upon a Honeymoon,Leo McCarey,"Comedy, Romance, Drama",1942
Going My Way,Leo McCarey,"Drama, Comedy, Music",1944
The Bells of St. Mary's,Leo McCarey,"Drama, Comedy",1945
Good Sam,Leo McCarey,"Comedy, Drama, Romance",1948
My Son John,Leo McCarey,Drama,1952
An Affair to Remember,Leo McCarey,"Drama, Romance",1957
"Rally 'Round the Flag, Boys!",Leo McCarey,"Comedy, Romance",1958
Satan Never Sleeps,Leo McCarey,Drama,1962
Praying with Anger,M. Night Shyamalan,"Comedy, Drama",1993
Wide Awake,M. Night Shyamalan,"Comedy, Drama, Family",1998
The Sixth Sense,M. Night Shyamalan,"Mystery, Thriller, Drama",1999
Unbreakable,M. Night Shyamalan,"Thriller, Drama, Mystery",2000
Signs,M. Night Shyamalan,"Drama, Thriller, Science Fiction, Mystery",2002
The Village,M. Night Shyamalan,"Drama, Mystery, Thriller",2004
Lady in the Water,M. Night Shyamalan,"Drama, Fantasy, Mystery",2006
The Happening,M. Night Shyamalan,"Thriller, Science Fiction",2008
The Last Airbender,M. Night Shyamalan,"Action, Adventure, Fantasy",2010
After Earth,M. Night Shyamalan,"Science Fiction, Action, Adventure",2013
The Visit,M. Night Shyamalan,"Horror, Mystery, Thriller",2015
Split,M. Night Shyamalan,"Horror, Thriller",2017
Glass,M. Night Shyamalan,"Thriller, Drama, Science Fiction",2019
Old,M. Night Shyamalan,"Thriller, Mystery, Horror",2021
Knock at the Cabin,M. Night Shyamalan,"Horror, Mystery, Thriller",2023
Trap,M. Night Shyamalan,"Crime, Thriller",2024
In Bruges,Martin McDonagh,"Comedy, Drama, Crime",2008
Seven Psychopaths,Martin McDonagh,"Comedy, Crime",2012
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,"Crime, Drama",2017
The Banshees of Inisherin,Martin McDonagh,"Drama, Comedy",2022
Who's That Knocking at My Door,Martin Scorsese,"Drama, Romance",1969
Street Scenes 1970,Martin Scorsese,Documentary,1970
Boxcar Bertha,Martin Scorsese,"Crime, Drama",1972
Mean Streets,Martin Scorsese,"Drama, Crime",1973
Alice Doesn't Live Here Anymore,Martin Scorsese,"Romance, Drama",1974
Taxi Driver,Martin Scorsese,"Crime, Drama",1976
"New York, New York",Martin Scorsese,"Romance, Drama, Music",1977
American Boy: A Profile of Steven Prince,Martin Scorsese,Documentary,1978
The Last Waltz,Martin Scorsese,"Documentary, Music",1978
Raging Bull,Martin Scorsese,Drama,1980
The King of Comedy,Martin Scorsese,"Drama, Comedy",1982
After Hours,Martin Scorsese,"Comedy, Thriller, Drama",1985
The Color of Money,Martin Scorsese,Drama,1986
The Last Temptation of Christ,Martin Scorsese,Drama,1988
GoodFellas,Martin Scorsese,"Drama, Crime",1990
Cape Fear,Martin Scorsese,"Thriller, Crime",1991
The Age of Innocence,Martin Scorsese,"Drama, Romance",1993
Casino,Martin Scorsese,"Crime, Drama",1995
A Personal Journey with Martin Scorsese Through American Movies,Martin Scorsese,Documentary,1995
Kundun,Martin Scorsese,"Drama, History",1997
Bringing Out the Dead,Martin Scorsese,Drama,1999
My Voyage to Italy,Martin Scorsese,Documentary,1999
The Concert for New York City,Martin Scorsese,"Documentary, History, Music",2001
Gangs of New York,Martin Scorsese,"Drama, History, Crime",2002
Feel Like Going Home,Martin Scorsese,Documentary,2003
The Aviator,Martin Scorsese,Drama,2004
No Direction Home: Bob Dylan,Martin Scorsese,"Documentary, Music",2005
The Departed,Martin Scorsese,"Drama, Thriller, Crime",2006
Shine a Light,Martin Scorsese,"Documentary, Music",2008
Shutter Island,Martin Scorsese,"Drama, Thriller, Mystery",2010
A Letter to Elia,Martin Scorsese,Documentary,2010
Public Speaking,Martin Scorsese,Documentary,2010
Hugo,Martin Scorsese,"Adventure, Drama, Family",2011
George Harrison: Living in the Material World,Martin Scorsese,"Music, Documentary",2011
The Wolf of Wall Street,Martin Scorsese,"Crime, Drama, Comedy",2013
The 50 Year Argument,Martin Scorsese,Documentary,2014
Silence,Martin Scorsese,"Drama, History",2016
The Irishman,Martin Scorsese,"Crime, Drama, History",2019
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,Martin Scorsese,"Documentary, Music",2019
Scorsese Shorts,Martin Scorsese,,2020
Personality Crisis: One Night Only,Martin Scorsese,"Documentary, Music",2022
Killers of the Flower Moon,Martin Scorsese,"Crime, History, Drama",2023
Mel Gibson Goes Back to School,Mel Gibson,"Documentary, TV Movie",1991
The Man Without a Face,Mel Gibson,Drama,1993
Braveheart,Mel Gibson,"Action, Drama, History, War",1995
The Passion of the Christ,Mel Gibson,Drama,2004
Apocalypto,Mel Gibson,"Action, Drama, History",2006
Hacksaw Ridge,Mel Gibson,"Drama, History, War",2016
Flight Risk,Mel Gibson,"Thriller, Drama",2024
The Last Bohemian,Michael Curtiz,Drama,1913
The Undesirable,Michael Curtiz,"Romance, Drama",1915
The Coronation of King Charles IV,Michael Curtiz,"Documentary, History",1916
The Last Dawn,Michael Curtiz,Drama,1917
Alraune,Michael Curtiz,"Science Fiction, Horror",1918
Labyrinth of Horror,Michael Curtiz,Drama,1921
Mrs. Dane's Confession,Michael Curtiz,"Drama, Crime",1921
Sodom and Gomorrah,Michael Curtiz,Drama,1922
Avalanche,Michael Curtiz,Drama,1923
Young Medardus,Michael Curtiz,"History, Drama",1923
Moon of Israel,Michael Curtiz,Drama,1924
Red Heels,Michael Curtiz,Drama,1925
Cab No. 13,Michael Curtiz,Drama,1926
The Golden Butterfly,Michael Curtiz,Drama,1926
The Third Degree,Michael Curtiz,Romance,1926
The Desired Woman,Michael Curtiz,"Romance, Drama",1927
Good Time Charley,Michael Curtiz,Drama,1927
A Million Bid,Michael Curtiz,"Drama, Romance",1927
Noah's Ark,Michael Curtiz,"Drama, War",1928
Tenderloin,Michael Curtiz,"Drama, Crime",1928
The Gamblers,Michael Curtiz,Drama,1929
Glad Rag Doll,Michael Curtiz,"Romance, Comedy",1929
Madonna of Avenue A,Michael Curtiz,Drama,1929
Hearts in Exile,Michael Curtiz,Romance,1929
Mammy,Michael Curtiz,"Music, Comedy",1930
The Matrimonial Bed,Michael Curtiz,Comedy,1930
River's End,Michael Curtiz,"Western, Drama, Romance",1930
Bright Lights,Michael Curtiz,"Music, Drama, Romance, Crime",1930
A Soldier's Plaything,Michael Curtiz,"Comedy, Drama, Romance, War",1930
Under a Texas Moon,Michael Curtiz,"Adventure, Comedy, Western",1930
God's Gift to Women,Michael Curtiz,"Comedy, Romance",1931
The Mad Genius,Michael Curtiz,"Drama, Horror, Romance",1931
Demon of the Sea,Michael Curtiz,Drama,1931
Doctor X,Michael Curtiz,"Horror, Thriller, Mystery, Science Fiction",1932
The Cabin in the Cotton,Michael Curtiz,Drama,1932
"20,000 Years in Sing Sing",Michael Curtiz,"Crime, Drama",1932
The Woman from Monte Carlo,Michael Curtiz,"Romance, Drama, War",1932
Alias the Doctor,Michael Curtiz,Drama,1932
The Strange Love of Molly Louvain,Michael Curtiz,"Drama, Crime",1932
Mystery of the Wax Museum,Michael Curtiz,"Horror, Mystery",1933
Private Detective 62,Michael Curtiz,"Crime, Drama",1933
Female,Michael Curtiz,"Romance, Comedy",1933
The Kennel Murder Case,Michael Curtiz,"Crime, Mystery",1933
The Keyhole,Michael Curtiz,"Comedy, Drama, Romance",1933
Goodbye Again,Michael Curtiz,"Comedy, Romance",1933
Jimmy the Gent,Michael Curtiz,"Drama, Comedy, Romance, Crime",1934
The Key,Michael Curtiz,Drama,1934
British Agent,Michael Curtiz,"Romance, Drama, War",1934
Mandalay,Michael Curtiz,Drama,1934
Captain Blood,Michael Curtiz,"Adventure, Action, History, Romance",1935
Black Fury,Michael Curtiz,Drama,1935
The Case of the Curious Bride,Michael Curtiz,"Comedy, Crime, Mystery",1935
Little Big Shot,Michael Curtiz,"Comedy, Crime",1935
Front Page Woman,Michael Curtiz,"Comedy, Romance",1935
The Walking Dead,Michael Curtiz,"Crime, Horror, Science Fiction",1936
The Charge of the Light Brigade,Michael Curtiz,"Drama, Adventure, War",1936
Kid Galahad,Michael Curtiz,"Crime, Drama, Romance",1937
The Perfect Specimen,Michael Curtiz,"Romance, Comedy",1937
Mountain Justice,Michael Curtiz,"Drama, Romance",1937
Stolen Holiday,Michael Curtiz,"Drama, Romance",1937
The Adventures of Robin Hood,Michael Curtiz,"Adventure, Romance, History",1938
Angels with Dirty Faces,Michael Curtiz,"Crime, Drama",1938
Four's a Crowd,Michael Curtiz,"Comedy, Romance",1938
Four Daughters,Michael Curtiz,"Drama, Music, Romance",1938
Gold Is Where You Find It,Michael Curtiz,"Drama, Romance, Western",1938
The Private Lives of Elizabeth and Essex,Michael Curtiz,"Drama, History, Romance",1939
Dodge City,Michael Curtiz,Western,1939
Four Wives,Michael Curtiz,"Drama, Romance",1939
Daughters Courageous,Michael Curtiz,"Drama, Romance",1939
Santa Fe Trail,Michael Curtiz,Western,1940
Virginia City,Michael Curtiz,"Western, Action, Romance",1940
The Sea Wolf,Michael Curtiz,"Adventure, Drama",1941
Dive Bomber,Michael Curtiz,Drama,1941
Yankee Doodle Dandy,Michael Curtiz,"Drama, Music",1942
Captains of the Clouds,Michael Curtiz,"Action, War",1942
Casablanca,Michael Curtiz,"Drama, Romance",1943
This Is the Army,Michael Curtiz,"Comedy, Music, Romance, War",1943
Mission to Moscow,Michael Curtiz,"War, Drama, History",1943
Passage to Marseille,Michael Curtiz,"Adventure, War",1944
Janie,Michael Curtiz,"Comedy, Romance",1944
Mildred Pierce,Michael Curtiz,"Crime, Drama",1945
Roughly Speaking,Michael Curtiz,"Comedy, Drama",1945
Night and Day,Michael Curtiz,"Drama, Music",1946
The Unsuspected,Michael Curtiz,"Drama, Mystery, Thriller",1947
Life with Father,Michael Curtiz,"Comedy, Family",1947
Romance on the High Seas,Michael Curtiz,"Comedy, Romance",1948
My Dream Is Yours,Michael Curtiz,"Comedy, Music, Romance",1949
Flamingo Road,Michael Curtiz,"Drama, Romance",1949
The Lady Takes a Sailor,Michael Curtiz,"Comedy, Romance",1949
Young Man with a Horn,Michael Curtiz,"Drama, Music, Romance",1950
The Breaking Point,Michael Curtiz,"Crime, Drama",1950
Bright Leaf,Michael Curtiz,"Drama, Romance",1950
Jim Thorpe – All-American,Michael Curtiz,Drama,1951
I'll See You in My Dreams,Michael Curtiz,"Comedy, Drama, Music",1951
Force of Arms,Michael Curtiz,"War, Romance, Drama",1951
The Story of Will Rogers,Michael Curtiz,"Comedy, Drama",1952
Trouble Along the Way,Michael Curtiz,"Comedy, Drama",1953
The Jazz Singer,Michael Curtiz,"Music, Drama",1953
The Egyptian,Michael Curtiz,"History, Drama",1954
White Christmas,Michael Curtiz,"Comedy, Music, Romance",1954
The Boy from Oklahoma,Michael Curtiz,Western,1954
We're No Angels,Michael Curtiz,"Comedy, Crime",1955
The Scarlet Hour,Michael Curtiz,"Crime, Drama, Thriller",1956
The Best Things in Life Are Free,Michael Curtiz,Music,1956
The Vagabond King,Michael Curtiz,"Romance, Music, History",1956
The Helen Morgan Story,Michael Curtiz,"Drama, Music, Romance",1957
King Creole,Michael Curtiz,"Drama, Music, Crime",1958
The Proud Rebel,Michael Curtiz,"Western, Drama",1958
The Man in the Net,Michael Curtiz,"Drama, Thriller, Mystery",1959
The Hangman,Michael Curtiz,Western,1959
The Adventures of Huckleberry Finn,Michael Curtiz,"Adventure, Comedy, Drama, Family",1960
A Breath of Scandal,Michael Curtiz,"Comedy, Drama, Romance",1960
The Comancheros,Michael Curtiz,"Western, Action",1961
Francis of Assisi,Michael Curtiz,"History, Drama",1961
After Liverpool,Michael Haneke,"TV Movie, Drama",1974
Three Paths to the Lake,Michael Haneke,"Drama, TV Movie",1976
Trash,Michael Haneke,"TV Movie, Drama",1976
Variation,Michael Haneke,"Drama, Romance, TV Movie",1983
Who Was Edgar Allan?,Michael Haneke,"Drama, TV Movie",1984
Fraulein,Michael Haneke,"Drama, TV Movie",1986
The Seventh Continent,Michael Haneke,Drama,1989
Obituary for a Murderer,Michael Haneke,"TV Movie, Documentary",1991
Benny's Video,Michael Haneke,"Crime, Drama",1992
The Rebellion,Michael Haneke,"Drama, War, TV Movie",1993
71 Fragments of a Chronology of Chance,Michael Haneke,Drama,1995
Funny Games,Michael Haneke,"Drama, Horror, Thriller",1997
The Castle,Michael Haneke,"Drama, Mystery",1997
Code Unknown,Michael Haneke,Drama,2000
The Piano Teacher,Michael Haneke,"Drama, Romance",2001
Time of the Wolf,Michael Haneke,Drama,2003
Caché,Michael Haneke,"Mystery, Drama, Thriller",2005
The White Ribbon,Michael Haneke,"Drama, Mystery",2009
Amour,Michael Haneke,"Drama, Romance",2012
Così fan tutte,Michael Haneke,Music,2013
Happy End,Michael Haneke,Drama,2017
The Jericho Mile,Michael Mann,"Drama, TV Movie",1980
Thief,Michael Mann,"Crime, Thriller, Action",1981
The Keep,Michael Mann,"Horror, Fantasy",1983
Manhunter,Michael Mann,"Crime, Horror, Thriller",1986
L.A. Takedown,Michael Mann,"Action, Crime, Drama, Thriller",1989
The Last of the Mohicans,Michael Mann,"Action, Adventure, Drama, History, Romance, War",1992
Heat,Michael Mann,"Action, Crime, Drama",1995
The Insider,Michael Mann,"Drama, Thriller",1999
Ali,Michael Mann,Drama,2001
Collateral,Michael Mann,"Drama, Crime, Thriller",2004
Miami Vice,Michael Mann,"Action, Crime, Thriller",2006
Public Enemies,Michael Mann,"Crime, History, Drama",2009
Blackhat,Michael Mann,"Crime, Thriller, Action",2015
Ferrari,Michael Mann,"History, Drama",2023
Van Morrison in Ireland,Michael Radford,,1981
"Another Time, Another Place",Michael Radford,"Drama, Romance, War",1983
Nineteen Eighty-Four,Michael Radford,"Drama, Science Fiction, Romance",1984
White Mischief,Michael Radford,"Crime, Drama, Romance, Thriller",1987
B. Monkey,Michael Radford,"Romance, Crime, Drama",1999
Dancing at the Blue Iguana,Michael Radford,"Drama, Mystery",2001
The Merchant of Venice,Michael Radford,"Drama, Romance",2004
Flawless,Michael Radford,"Crime, Drama, Thriller",2007
Michel Petrucciani,Michael Radford,"Documentary, Music",2011
Elsa & Fred,Michael Radford,"Drama, Comedy, Romance",2014
The Music of Silence,Michael Radford,Drama,2017
La Classe américaine,Michel Hazanavicius,"Comedy, TV Movie",1993
"Sitcom, A Movie",Michel Hazanavicius,Comedy,1999
"OSS 117: Cairo, Nest of Spies",Michel Hazanavicius,"Crime, Action, Adventure, Comedy",2006
OSS 117: Lost in Rio,Michel Hazanavicius,"Crime, Action, Comedy",2009
The Artist,Michel Hazanavicius,"Drama, Comedy, Romance",2011
The Players,Michel Hazanavicius,Comedy,2012
Godard Mon Amour,Michel Hazanavicius,"Drama, Romance, Comedy",2017
The Lost Prince,Michel Hazanavicius,"Fantasy, Adventure, Comedy",2020
Final Cut,Michel Hazanavicius,"Horror, Comedy",2022
The Most Precious of Cargoes,Michel Hazanavicius,"Animation, Drama, History",2024
Megadoc,Mike Figgis,Documentary,
The House,Mike Figgis,"Drama, War, TV Movie",1984
Stormy Monday,Mike Figgis,Thriller,1988
Internal Affairs,Mike Figgis,"Crime, Drama",1990
Liebestraum,Mike Figgis,"Thriller, Mystery, Romance",1991
Women & Men 2: In Love There Are No Rules,Mike Figgis,"Drama, TV Movie",1991
Mr. Jones,Mike Figgis,"Drama, Romance",1993
The Browning Version,Mike Figgis,Drama,1994
Leaving Las Vegas,Mike Figgis,"Drama, Romance",1995
One Night Stand,Mike Figgis,Drama,1997
The Loss of Sexual Innocence,Mike Figgis,Drama,1999
Miss Julie,Mike Figgis,Drama,1999
Timecode,Mike Figgis,Drama,2000
Hotel,Mike Figgis,Comedy,2001
The Battle of Orgreave,Mike Figgis,Documentary,2002
Cold Creek Manor,Mike Figgis,"Mystery, Thriller",2003
"Red, White and Blues",Mike Figgis,"Documentary, Music",2003
Co/Ma,Mike Figgis,Documentary,2004
Love Live Long,Mike Figgis,,2008
The Co(te)lette Film,Mike Figgis,Music,2010
Suspension of Disbelief,Mike Figgis,Thriller,2012
Somebody Up There Likes Me,Mike Figgis,"Documentary, Music",2020
Bleak Moments,Mike Leigh,"Comedy, Drama",1971
Hard Labour,Mike Leigh,"Drama, TV Movie",1973
Nuts in May,Mike Leigh,"Comedy, TV Movie",1976
Abigail's Party,Mike Leigh,"Comedy, Drama, TV Movie",1977
The Kiss of Death,Mike Leigh,"Drama, Romance, TV Movie",1977
Who's Who,Mike Leigh,"Drama, TV Movie",1979
Grown-Ups,Mike Leigh,"Drama, TV Movie",1980
Home Sweet Home,Mike Leigh,"Drama, TV Movie",1982
Meantime,Mike Leigh,"Drama, Comedy, TV Movie",1983
Four Days in July,Mike Leigh,"Drama, TV Movie",1984
High Hopes,Mike Leigh,"Comedy, Drama",1989
Life Is Sweet,Mike Leigh,"Comedy, Drama",1990
Naked,Mike Leigh,"Drama, Comedy",1993
Two Mikes Don't Make a Wright,Mike Leigh,"Comedy, Documentary",1993
Secrets & Lies,Mike Leigh,Drama,1996
Career Girls,Mike Leigh,Drama,1997
Topsy-Turvy,Mike Leigh,"Comedy, Drama, Music, History",1999
All or Nothing,Mike Leigh,"Comedy, Drama",2002
Vera Drake,Mike Leigh,Drama,2004
Happy-Go-Lucky,Mike Leigh,"Comedy, Drama",2008
Another Year,Mike Leigh,"Drama, Comedy",2010
Mr. Turner,Mike Leigh,"History, Drama",2014
Peterloo,Mike Leigh,"History, Drama",2018
Hard Truths,Mike Leigh,Drama,2024
Black Peter,Milos Forman,"Drama, Comedy",1964
Audition,Milos Forman,"Music, Documentary",1964
Loves of a Blonde,Milos Forman,"Comedy, Drama, Romance",1965
A Well Paid Walk,Milos Forman,"Comedy, Music, TV Movie",1966
The Firemen's Ball,Milos Forman,Comedy,1967
Taking Off,Milos Forman,"Music, Comedy, Drama",1971
Visions of Eight,Milos Forman,Documentary,1973
One Flew Over the Cuckoo's Nest,Milos Forman,Drama,1975
Hair,Milos Forman,"Music, Drama, Comedy",1979
Ragtime,Milos Forman,"Drama, History",1981
Amadeus,Milos Forman,"History, Music, Drama",1984
Valmont,Milos Forman,"Drama, Romance",1989
The People vs. Larry Flynt,Milos Forman,Drama,1996
Man on the Moon,Milos Forman,"Comedy, Drama",1999
Goya's Ghosts,Milos Forman,"Drama, History",2006
A Walk Worthwhile,Milos Forman,Music,2009
Most People Live in China,Morten Tyldum,"Comedy, Drama",2002
Buddy,Morten Tyldum,"Comedy, Drama, Romance",2003
Varg Veum - Fallen Angels,Morten Tyldum,"Crime, Drama, Thriller",2008
Headhunters,Morten Tyldum,"Thriller, Crime, Action",2011
The Imitation Game,Morten Tyldum,"History, Drama, Thriller, War",2014
Passengers,Morten Tyldum,"Drama, Romance, Science Fiction",2016
The Fabulous Fifties,Norman Jewison,"Music, TV Movie",1960
40 Pounds of Trouble,Norman Jewison,Comedy,1962
The Broadway of Lerner and Loewe,Norman Jewison,"Music, TV Movie",1962
The Judy Garland Show,Norman Jewison,"Comedy, Music, TV Movie",1962
The Thrill of It All,Norman Jewison,"Comedy, Romance",1963
Send Me No Flowers,Norman Jewison,"Comedy, Romance",1964
The Cincinnati Kid,Norman Jewison,Drama,1965
The Art of Love,Norman Jewison,Comedy,1965
The Russians Are Coming! The Russians Are Coming!,Norman Jewison,"Comedy, War",1966
In the Heat of the Night,Norman Jewison,"Crime, Drama, Mystery, Thriller",1967
The Thomas Crown Affair,Norman Jewison,"Crime, Romance",1968
"Gaily, Gaily",Norman Jewison,Comedy,1969
Fiddler on the Roof,Norman Jewison,"Drama, Romance",1971
Jesus Christ Superstar,Norman Jewison,"Music, Drama",1973
Rollerball,Norman Jewison,"Science Fiction, Action",1975
F.I.S.T.,Norman Jewison,"Drama, Action",1978
...And Justice for All,Norman Jewison,Drama,1979
Best Friends,Norman Jewison,"Comedy, Romance",1982
A Soldier's Story,Norman Jewison,"Mystery, Crime, Drama",1984
Agnes of God,Norman Jewison,"Drama, Mystery",1985
Moonstruck,Norman Jewison,"Comedy, Drama, Romance",1987
In Country,Norman Jewison,Drama,1989
Other People's Money,Norman Jewison,Comedy,1991
Only You,Norman Jewison,"Romance, Comedy",1994
Bogus,Norman Jewison,"Fantasy, Comedy, Family",1996
Funny Is Money,Norman Jewison,"Documentary, History",1999
